"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"33","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;PHP;Python;SQL;TypeScript","Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;VMware","Django;Express;Laravel;Node.js","Higher Education","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed, full-time"
"34","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;R;SQL;TypeScript;VBA","MariaDB;Microsoft SQL Server;MySQL","Amazon Web Services (AWS);Firebase;Microsoft Azure","ASP.NET;ASP.NET CORE;Django;React;Vue.js","Wholesale","ChatGPT","GitHub Copilot;Replit Ghostwriter","Employed, full-time"
"35","Nelspruit Campus","IT","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;Python","Dynamodb;PostgreSQL","Amazon Web Services (AWS)","React","Oil & Gas","Bing AI;ChatGPT;Google Bard AI","Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed, full-time"
"36","Port Elizabeth Campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);C#;HTML/CSS;MATLAB;Python;R;SQL","Microsoft SQL Server;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware","FastAPI","Advertising Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI","Employed, full-time"
"37","Durban Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Python;SQL;TypeScript","Cosmos DB;PostgreSQL;Solr","Microsoft Azure;Scaleway","FastAPI;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline;AWS CodeWhisperer","Employed, full-time;Student, full-time"
"38","Durban Campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;TypeScript","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Vue.js","Other","Bing AI;ChatGPT","Rubber Duck.AI","Employed, full-time"
"39","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;TypeScript;Visual Basic (.Net)","Cosmos DB;Dynamodb;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;IBM Cloud Or Watson;Microsoft Azure;Netlify;Render;Vercel","Deno;Next.js;Node.js;React;Ruby on Rails;Vue.js","Advertising Services","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed, full-time"
"40","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Java;Kotlin","Oracle","Amazon Web Services (AWS)","Spring Boot","Legal Services","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine","Employed, full-time"
"41","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript","MySQL","Amazon Web Services (AWS)","jQuery;Play Framework;React","Retail and Consumer Services","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Employed, full-time"
"42","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript;PHP;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase","Angular;AngularJS;CodeIgniter;Laravel","Healthcare","ChatGPT;Google Bard AI","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"43","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;PowerShell;SQL","Microsoft SQL Server","Microsoft Azure","ASP.NET;jQuery","Oil & Gas","Bing AI;ChatGPT","Tabnine;Whispr AI","Employed, full-time"
"44","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Java;Kotlin;PowerShell;SQL;TypeScript","Microsoft SQL Server;PostgreSQL","Hetzner;Oracle Cloud Infrastructure (OCI)","ASP.NET;jQuery;Spring Boot","Other","ChatGPT;WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed, part-time"
"45","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript","MongoDB;MySQL;PostgreSQL;SQLite","Digital Ocean;Hetzner;Microsoft Azure","Angular;Django;FastAPI;Gatsby;Node.js;Vue.js","Advertising Services","ChatGPT;WolframAlpha","AWS CodeWhisperer;GitHub Copilot;Synk Code","Independent contractor, freelancer, or self-employed"
"46","Pretoria Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Dart;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","MongoDB;MySQL;PostgreSQL","Firebase;Heroku;Netlify","Express;Fastify;Node.js","Oil & Gas","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"47","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Associate degree (A.A., A.S., etc.)","C#;Java;JavaScript;Python","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed, full-time"
"48","Durban Campus","IT","I used to be a developer by profession, but no longer am","DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;JavaScript;Python;SQL","Microsoft SQL Server","Amazon Web Services (AWS)","ASP.NET;Node.js","Retail and Consumer Services","ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed, full-time;Independent contractor, freelancer, or self-employed;Not employed, but looking for work"
"49","Pretoria Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Groovy;Java;JavaScript;Python;TypeScript","Dynamodb;H2;MySQL;Oracle","Amazon Web Services (AWS);VMware","Express;Flask;Node.js;Spring Boot","Financial Services","ChatGPT","Whispr AI","Employed, full-time"
"50","Nelspruit Campus","Data Science","I am a developer by profession","Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript;VBA","MariaDB;Microsoft SQL Server;MongoDB;MySQL","Google Cloud;Microsoft Azure","jQuery;Node.js;React;WordPress","Insurance","ChatGPT","Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time"
"51","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Dart;Groovy;JavaScript;Kotlin;Lua;Python;Ruby;Rust;TypeScript","Firebase Realtime Database;MongoDB;MySQL;SQLite;Supabase","Firebase;Vercel","Django;Flask;Next.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT;Google Bard AI","AWS CodeWhisperer;Codeium;GitHub Copilot","Independent contractor, freelancer, or self-employed;Employed, part-time;Student, part-time"
"52","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;MATLAB;PHP;Python;R;SQL;TypeScript","Dynamodb;Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Google Cloud;Heroku;Hetzner;Netlify;OpenStack;Vercel","CodeIgniter;Django;Flask;jQuery;Nuxt.js","Other","Bing AI","Whispr AI","Employed, full-time"
"53","Durban Campus","IT","I am a developer by profession","Developer, game or graphics","Some college/university study without earning a degree","Go;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript","MySQL;Neo4J;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Managed Hosting;OVH","Laravel;Node.js;React","Other","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Independent contractor, freelancer, or self-employed"
"54","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP","MySQL","Digital Ocean;Firebase;Google Cloud;VMware","jQuery;React;Symfony","Retail and Consumer Services","ChatGPT","GitHub Copilot;Whispr AI","Employed, full-time"
"55","Pretoria Campus","Computer Science","I am a developer by profession","Developer, desktop or enterprise applications","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP;TypeScript","Elasticsearch;H2;MariaDB;Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean","Laravel;Nuxt.js;Vue.js","Financial Services","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed, full-time;Independent contractor, freelancer, or self-employed"
"56","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript","PostgreSQL","Digital Ocean;Google Cloud","Angular;Django;Node.js;Spring Boot","Wholesale","Bing AI;ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed, full-time;Independent contractor, freelancer, or self-employed"
"57","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;Python;SQL;TypeScript","Microsoft SQL Server;MySQL;SQLite","Firebase","Angular","Other","ChatGPT","Adrenaline;Codeium;GitHub Copilot","Employed, full-time"
"58","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Blazor","Legal Services","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify","Employed, full-time"
"59","Nelspruit Campus","IT","I am a developer by profession","Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Objective-C;Swift","Firebase Realtime Database;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase;OpenShift;OpenStack","NestJS;Next.js;Node.js","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine","Employed, full-time"
"60","Nelspruit Campus","Computer Science","I am a developer by profession","Blockchain","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;C;HTML/CSS;JavaScript;Solidity;SQL","PostgreSQL","Scaleway","React","Healthcare","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Independent contractor, freelancer, or self-employed"
"61","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;Python","InfluxDB;MariaDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure;OVH","FastAPI;Flask;React;WordPress","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline","Employed, full-time"
"62","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, desktop or enterprise applications","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C#;Java;VBA;Visual Basic (.Net)","Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS)","Blazor","Advertising Services","ChatGPT;Phind","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Employed, full-time"
"63","Port Elizabeth Campus","IT","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;TypeScript","Cassandra;Elasticsearch;PostgreSQL","Amazon Web Services (AWS);Microsoft Azure;Netlify;OpenShift","Spring Boot;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT;Perplexity AI","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed, full-time"
